timestamp,frame,w,h,inter_ocular_px,scale_rel,eye_center_x,eye_center_y,face_center_x,face_center_y,offset_x_px,offset_y_px,offset_x_norm,offset_y_norm
1754900198.838957,72,640,480,198.394,1.0,536.405,284.609,536.444,281.442,-0.039,3.167,-0.000198,0.015965
1754900198.921647,73,640,480,199.146,1.0,505.212,256.729,507.51,254.221,-2.298,2.509,-0.011538,0.012597
1754900198.950851,74,640,480,193.63,1.0,436.292,216.719,438.671,214.374,-2.378,2.345,-0.012282,0.01211
1754900199.021596,75,640,480,190.011,1.0,416.737,197.065,417.912,193.447,-1.175,3.619,-0.006183,0.019045
1754900199.051144,76,640,480,189.983,1.0,392.821,179.327,393.737,175.777,-0.915,3.55,-0.004819,0.018683
1754900199.113631,77,640,480,187.956,1.0,387.0,164.818,387.874,160.644,-0.874,4.174,-0.004649,0.022206
1754900199.146776,78,640,480,188.025,1.0,375.948,151.854,376.994,147.849,-1.046,4.005,-0.005565,0.021302
1754900199.2150881,79,640,480,189.994,1.0,371.512,144.004,372.348,140.171,-0.836,3.833,-0.004402,0.020173
1754900199.248435,80,640,480,184.955,1.0,376.795,150.731,376.912,147.059,-0.117,3.672,-0.000632,0.019853
1754900199.286179,81,640,480,194.383,1.0,366.27,155.21,366.68,152.002,-0.41,3.208,-0.00211,0.016504
1754900199.351688,82,640,480,189.325,1.0,349.25,172.298,349.443,168.486,-0.193,3.812,-0.001021,0.020133
1754900199.3803258,83,640,480,186.941,1.0,347.377,195.747,346.95,191.078,0.427,4.669,0.002283,0.024977
1754900199.4517188,84,640,480,190.211,1.0,348.461,218.879,348.074,214.602,0.387,4.278,0.002033,0.022489
1754900199.479441,85,640,480,186.432,1.0,346.118,231.662,346.113,228.089,0.005,3.573,2.7e-05,0.019165
1754900199.550761,86,640,480,190.581,1.0,343.691,234.196,343.809,230.567,-0.118,3.629,-0.000619,0.019043
1754900199.577218,87,640,480,190.675,1.0,344.838,233.303,345.08,229.487,-0.242,3.817,-0.001268,0.020018
1754900199.648664,88,640,480,190.761,1.0,346.226,231.303,346.381,227.566,-0.155,3.737,-0.000815,0.01959
1754900199.676199,89,640,480,193.564,1.0,344.325,231.593,344.341,228.235,-0.016,3.358,-8.2e-05,0.017349
1754900199.740281,90,640,480,192.019,1.0,344.46,234.742,344.323,230.997,0.137,3.745,0.000715,0.019501
1754900199.780627,91,640,480,191.61,1.0,341.949,230.521,341.682,227.148,0.267,3.373,0.001391,0.017604
1754900199.851248,92,640,480,189.895,1.0,333.102,226.077,333.012,222.813,0.09,3.264,0.000473,0.01719
1754900199.875482,93,640,480,193.115,1.0,324.042,225.91,323.707,222.829,0.335,3.081,0.001733,0.015952
1754900199.911134,94,640,480,191.689,1.0,314.351,232.039,313.856,229.281,0.495,2.757,0.002583,0.014385
1754900199.975596,95,640,480,191.269,1.0,304.414,236.554,303.582,233.567,0.831,2.987,0.004347,0.015615
1754900200.0089002,96,640,480,188.971,1.0,292.023,238.826,291.217,235.945,0.807,2.881,0.004268,0.015244
1754900200.078193,97,640,480,189.455,1.0,284.57,241.89,283.658,238.936,0.912,2.954,0.004815,0.01559
