timestamp,left_x,left_y,right_x,right_y,head_x,head_y,center_x,center_y,eye_dx,eye_dy,head_eye_dx,head_eye_dy
1754382516.67491,784,376,660,378,722,463,722,377,124,2,0,86
1754382517.123193,772,367,638,363,702,457,705,365,134,4,3,92
1754382517.1890078,761,368,629,363,690,457,695,365,132,5,5,92
1754382517.221868,757,366,622,362,686,457,689,364,135,4,3,93
1754382517.2563572,752,368,618,362,681,457,685,365,134,6,4,92
1754382517.293021,747,368,614,364,677,458,680,366,133,4,3,92
1754382517.320249,743,368,609,364,673,458,676,366,134,4,3,92
1754382517.356224,740,369,606,365,669,459,673,367,134,4,4,92
1754382517.387934,737,370,604,366,667,460,670,368,133,4,3,92
1754382517.42137,734,369,601,366,665,460,667,367,133,3,2,93
1754382517.5388072,731,370,597,368,661,461,664,369,134,2,3,92
1754382517.5881479,727,372,594,371,659,464,660,371,133,1,1,93
1754382517.622483,727,372,594,371,657,464,660,371,133,1,3,93
1754382517.655141,726,373,594,373,657,466,660,373,132,0,3,93
1754382517.687009,726,374,593,373,657,466,659,373,133,1,2,93
1754382517.722134,726,373,593,373,656,466,659,373,133,0,3,93
1754382517.754173,726,373,594,372,656,466,660,372,132,1,4,94
1754382517.8033621,727,373,594,372,657,465,660,372,133,1,3,93
1754382517.8534431,728,371,596,368,658,461,662,369,132,3,4,92
1754382517.887421,727,371,594,367,656,460,660,369,133,4,4,91
1754382517.9208808,725,370,593,365,656,459,659,367,132,5,3,92
1754382517.952873,724,370,593,365,654,458,658,367,131,5,4,91
1754382517.986757,722,370,591,365,652,458,656,367,131,5,4,91
1754382518.0255182,719,370,589,365,650,457,654,367,130,5,4,90
1754382518.054904,716,370,587,365,647,457,651,367,129,5,4,90
1754382518.087081,714,370,585,365,645,456,649,367,129,5,4,89
1754382518.11962,711,370,583,365,643,456,647,367,128,5,4,89
1754382518.15329,709,370,582,365,642,456,645,367,127,5,3,89
1754382518.187414,708,371,581,366,640,456,644,368,127,5,4,88
1754382518.220503,707,372,581,366,640,456,644,369,126,6,4,87
1754382518.2533162,706,372,582,366,639,456,644,369,124,6,5,87
1754382518.28661,705,374,581,368,638,457,643,371,124,6,5,86
1754382518.322735,704,377,580,370,637,458,642,373,124,7,5,85
